timestamp,name,raw_text_vosk,text,time_taken_sec,question_flag,num_words,text_size_chars,speech_rate_wps,speaker_turn_id
2026-06-21T14:14:01,Edward,hello to him today we discuss mobile app growth,"Hello. To him, today we discuss mobile app growth.",4.78,False,9,50,1.88,1
2026-06-21T14:14:05,Dan,thanks for saying this up edward,"Thanks for setting this up, Edward.",3.14,False,6,35,1.91,1
2026-06-21T14:14:09,Aidan,can we talk to students first,Can we talk to students first?,2.84,True,6,30,2.11,1
2026-06-21T14:14:11,Marcos,i think we need to lower pricing for it'll users,I think we need to lower pricing for IT users.,4.46,False,10,46,2.24,1
2026-06-21T14:14:16,Dan,what kind of pricing are we talking about,What kind of pricing are we talking about?,3.56,True,8,42,2.25,2
2026-06-21T14:14:19,Marcos,maybe up freemium model with a cheap premium tier,Maybe a freemium model with a cheap premium tier.,6.31,False,9,49,1.43,2
2026-06-21T14:14:26,Edward,a freemium model works well for the students demographic,A freemium model works well for the student demographic.,4.47,False,9,56,2.01,2
2026-06-21T14:14:30,Aidan,exactly they don't have much disposable income,Exactly; they don't have much disposable income.,3.6,False,7,48,1.94,2
2026-06-21T14:14:34,Dan,we could offer a university email discount,We could offer a university email discount.,4.12,False,7,43,1.7,3
2026-06-21T14:14:38,Marcos,that he's a really great idea that,"That he's a really great idea, that.",4.54,False,7,36,1.54,3
2026-06-21T14:14:42,Edward,how do we actually market to them on campus,How do we actually market to them on campus?,4.01,True,9,44,2.24,3
2026-06-21T14:14:46,Aidan,we could start a campus ambassador program,We could start a campus ambassador program.,4.12,False,7,43,1.7,3
2026-06-21T14:14:51,Dan,or run targeted social media ads during exam season,Or run targeted social media ads during exam season.,5.38,False,9,52,1.67,4
2026-06-21T14:14:56,Marcos,paid ads might be too expensive for us right through,Paid ads might be too expensive for us right through.,5.03,False,10,53,1.99,4
2026-06-21T14:15:01,Edward,let's stick to organic growth in word of mouth first,Let's stick to organic growth and word of mouth first.,3.75,False,10,54,2.67,4
2026-06-21T14:15:05,Aidan,campus and buster programs will cost us very little,Campus and Buster programs will cost us very little.,3.69,False,9,52,2.44,4
2026-06-21T14:15:08,Dan,i could build referral code system into the app settings,I could build a referral code system into the app settings.,4.74,False,11,59,2.32,5
2026-06-21T14:15:13,Marcos,perfect we leave them points for every successful sign up,"Perfect, we leave them points for every successful sign-up.",6.42,False,9,59,1.4,5
2026-06-21T14:15:20,Edward,what do the points actually get them,What do the points actually get them?,3.11,True,7,37,2.25,5
2026-06-21T14:15:23,Aidan,the mom's of the premium tier subscription,The moms of the premium tier subscription.,2.84,False,7,42,2.46,5
2026-06-21T14:15:26,Marcos,that keeps our gaspar and long while growing the user base,That keeps our gaspar and long while growing the user base.,6.59,False,11,59,1.67,6
2026-06-21T14:15:32,Dan,should we launch an ios and android at the same time,Should we launch an iOS and Android at the same time?,4.65,True,11,53,2.37,6
2026-06-21T14:15:37,Edward,let's just focus on ios first for the initial beta test,Let's just focus on iOS first for the initial beta test.,5.14,False,11,56,2.14,6
2026-06-21T14:15:42,Aidan,most students i know use iphones anyway,Most students I know use iPhones anyway.,3.35,False,7,40,2.09,6
2026-06-21T14:15:45,Marcos,we will save a lot of development time that way,We will save a lot of development time that way.,5.38,False,10,48,1.86,7
2026-06-21T14:15:51,Dan,sounds good i will update the product roadmap to do,Sounds good. I will update the product roadmap to-do.,4.86,False,9,53,1.85,7
2026-06-21T14:15:56,Edward,great meeting everyone let's get to work and execute on this,"Great meeting, everyone. Let's get to work and execute on this.",5.24,False,11,63,2.1,7
